PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,LTSAMB,RD,DIST_CRU,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_NGS,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_DSL,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_GSL,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_LPG,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_FOI,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_COK,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_KER,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_COA,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,IMP_ELE,,,,,,,,,,30.0
OperationalLife,LTSAMB,RD,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,EXTT_LPG,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,PPHDAM,,,,,,,,,,30.0
OperationalLife,LTSAMB,RD,PPHROR,,,,,,,,,,30.0
OperationalLife,LTSAMB,RD,PPGEO,,,,,,,,,,50.0
OperationalLife,LTSAMB,RD,PPWNDON,,,,,,,,,,25.0
OperationalLife,LTSAMB,RD,PPWNDOFF,,,,,,,,,,25.0
OperationalLife,LTSAMB,RD,PPPVT,,,,,,,,,,25.0
OperationalLife,LTSAMB,RD,PPPVTHYD,,,,,,,,,,25.0
OperationalLife,LTSAMB,RD,PPPVTS,,,,,,,,,,25.0
OperationalLife,LTSAMB,RD,PPPVD,,,,,,,,,,25.0
OperationalLife,LTSAMB,RD,PPPVDS,,,,,,,,,,25.0
OperationalLife,LTSAMB,RD,DIST_FIR,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_BIM,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,DIST_BGS,,,,,,,,,,1.0
OperationalLife,LTSAMB,RD,SOIALL,,,,,,,,,,100.0
